session,variant,bits,protocol,rows,threads,samples,baseline_ms,current_ms,baseline_p10_ms,baseline_p90_ms,current_p10_ms,current_p90_ms,saved_percent,proof_digest
1,production,128,skip-1,131072,10,5,8.939375,8.948333,8.8900918,9.181399599999999,8.938125,9.0141172,-0.10020834789903343,a0b38472f3348d53248138779ece06dc1f1918ba18639866fdd52fa1fe6d1f09
1,production,128,skip-2,4096,10,5,0.773125,0.737791,0.7364752,0.8273166,0.726483,0.828241,4.570282942603077,9de8cade6392d7a181c4462ca5560f6b0fcfeb0bd77da9abf84d4120469ada3f
1,production,128,skip-2,32768,10,5,4.007917,4.0545,3.9920496,4.1700584,4.002475,4.0833752,-1.1622745680611724,af2556b54ae38f57835a239cb5074dab84c6a39edd717b910e9d651edbeb4634
1,production,128,skip-2,131072,10,5,14.380208,14.326291,14.255025199999999,14.4892832,14.164225,14.763375199999999,0.3749389438595041,83366a3179fca832ae5965d207b5768b934b2c2db8784f84862f4c2d6afe0ba4
1,production,128,skip-3,4096,10,5,1.157292,1.066292,1.1042248000000001,1.169467,1.0562752,1.0832746000000002,7.86318405380837,fcb33d8653758582522b22eb2a08534aedf9c88e227a56c098985bf2dfd42d47
1,production,128,skip-3,32768,10,5,6.624375,6.610958,6.6127754,6.646416599999999,6.578166400000001,6.6458167999999995,0.20253986225116094,a65b10af2f1f7b5f6af07a0564c46c99b78658db1eff6be0ab88f8e6a69dbebf
1,production,128,skip-3,131072,10,5,25.325375,25.436084,25.236033,25.3989668,25.2669748,25.503432800000002,-0.4371465378103956,fa97bf3ce82548e53cdff6c944b62d23d585ff8c0e3b505535c7af9e7406f134
1,production,128,skip-4,4096,10,5,1.933,1.919375,1.8902336000000002,1.9747916,1.8389086000000001,1.982292,0.7048629073978296,3d591372b0d50b180da20efe3cadf3a1fe1558cbe05e04fb02be766af83d63f9
1,production,128,skip-4,32768,10,5,12.272916,12.456333,12.244758599999999,12.351017,12.327833199999999,12.482450400000001,-1.4944859070167293,f14961b72f39347632ee8beaf43fc5b8a86c8bfe29d16ec59c34e38d2e99e936
1,production,128,skip-4,131072,10,5,48.32625,48.133709,48.120375200000005,48.654958799999996,48.099425,48.522525,0.39841907865807435,803491efa5dbeb1dc572af1cc0d3bacf67d1db0a7bd298704b79c8951ae24272
2,generic,32,ordinary,4096,10,5,0.227125,0.364083,0.2252168,0.23108279999999998,0.36189140000000003,0.374975,-60.30071546505229,8bae746bd5cf8ce2a0f428447f7ab25c20b45e08876b836ef376c8f6424d1b90
2,generic,32,ordinary,32768,10,5,0.824792,1.086291,0.797009,0.882,1.0670582,1.166475,-31.704841948030538,65b43e77c0870f564fbd571e56bf0758915a88a585e0c6ee14f7025110463659
2,generic,32,ordinary,131072,10,5,1.71625,2.345,1.6848828,1.7524086,2.2305666,2.5298252000000003,-36.635105608157325,c4da81217d99a6dceb8d923716c729771e4c6d194299e818920773f7d81d69cb
2,generic,32,skip-1,4096,10,5,0.230375,0.374709,0.2297166,0.2317088,0.371692,0.3761332,-62.65176342919154,6d866468b5d4f6ebc6a4dc0026da6353ccfb442aa020d32f4f6e7b4a15e69910
2,generic,32,skip-1,32768,10,5,0.870917,2.41325,0.8516004,0.909267,2.3535,2.4283083999999997,-177.0929950844914,0ac1d78192b57fe08e567c3fd1e6917fd97e5bfdd2e5a8e5da842c4bb3ea8742
2,generic,32,skip-1,131072,10,5,1.768042,8.317709,1.716625,1.883708,8.0967252,8.4155254,-370.4474780576479,ab581d4945469de1d9ae3a6b7c0a4b894783164f6b24efc81fcfec4f56ca4efe
2,generic,32,skip-2,4096,10,5,0.154459,0.37975,0.1541084,0.156583,0.3781,0.38843320000000003,-145.85812416239906,d6494b56a98e1a35aad0d2a13c13e3e389b10c4dee26ce9759414b9183d0323c
2,generic,32,skip-2,32768,10,5,0.6565,2.8495,0.6373502,0.7960166,2.8342084,2.8528666,-334.044173648134,a007bb5b83685a8926668f33802be8fd4e1b44320c613b1ab398489a0cfa2004
2,generic,32,skip-2,131072,10,5,1.445542,10.24525,1.3403502,1.4810922,10.2271836,10.3148252,-608.7479990204366,2454921d11c1720c47dfb97a37b5b894ced64c3bbd7834eabb6ffb5e8122b400
2,generic,32,skip-3,4096,10,5,0.13875,0.440584,0.1374754,0.140308,0.4398588,0.44581659999999995,-217.53801801801802,ba7c17a0402e518208c74d4136bf190e5d7b06d6cd72d634d927c24b67269ab6
2,generic,32,skip-3,32768,10,5,0.494916,3.335459,0.48135,0.578983,3.3289418,3.3378,-573.9444673439533,96d7c0db819de2cc61c7a8e8471fa96532492eb8e8aacbcc14d49cc8de01a54c
2,generic,32,skip-3,131072,10,5,1.121042,12.930833,1.0724913999999999,1.165125,12.9138752,13.076566199999998,-1053.4655258232965,13812615cd0c2ff4f109941538d3ffba64e912170774047c3fd75c5460ab381e
2,generic,32,skip-4,4096,10,5,0.155375,0.578875,0.15393379999999998,0.1583838,0.5782584000000001,0.5812918,-272.5663716814159,fafe7ef004da705c145234067e65258e09c2d6b20286c5672726e89dd6167150
2,generic,32,skip-4,32768,10,5,0.948042,4.413375,0.9475248000000001,0.9520002,4.4124002,4.415866,-365.52526153904574,0344bf7f3dd508e40cab31c62ba0f50c3eef7e75722b97fdbbbb4f84f1672aad
2,generic,32,skip-4,131072,10,5,1.115666,17.595833,1.0197746,1.149092,17.579275199999998,17.6578416,-1477.1595620911635,2ff24df9a6a8a1b11a596620a6972a3e46d9af6f5f668c94779b0171fa095e5f
2,generic,64,ordinary,4096,10,5,0.257,0.371042,0.256133,0.2624166,0.37073340000000005,0.371775,-44.37431906614786,11eec3bd311e94ad5a46f4630b8a4aea34690027a020527490a9d77d5b3d24fc
2,generic,64,ordinary,32768,10,5,0.878625,1.034708,0.839325,0.884008,1.0109586,1.0696584,-17.764461516574205,c4ac8de333f6ef594a8b5c023d54d578115e712ae88fc59c52bef88c4d9c6d98
2,generic,64,ordinary,131072,10,5,1.791125,2.42625,1.7746746,1.9544164,2.3388088,2.4546248,-35.45955754065182,89e7344d07b0aed0e11c0cf5c1aa4f3efade1777959a7d5179208dae18cf3ea4
2,generic,64,skip-1,4096,10,5,0.628291,0.373542,0.5992088000000001,0.6834584,0.3728502,0.37467459999999997,40.54633919632782,67a37cbe780f8c93de7dc17e73023213f8ef89a81304c866ab1fae9dde4fce51
2,generic,64,skip-1,32768,10,5,2.753625,2.447458,2.718733,2.9039752,2.4274332000000003,2.4796,11.118689000862503,6d26f59b414ddd97d263083a6817f7e43c164dc02931d6e5d633294a78c62e6d
2,generic,64,skip-1,131072,10,5,8.729,8.572416,8.5897916,8.78325,8.5265422,8.6863084,1.7938366364990244,26c53fb2e4a5d007d1650be850289020d36354f90e23a3edf15c5415c67a326a
2,generic,64,skip-2,4096,10,5,0.784875,0.403083,0.7094004,0.8309584,0.4023914,0.4039664,48.64366937410416,c13758a50c6bae7c9bf3d5e34d6035c10bb13ddfea8176ef052a8868ca101184
2,generic,64,skip-2,32768,10,5,4.093167,3.042291,3.9983418,4.1598004,3.0398417999999996,3.0534582,25.673909713432163,e6f8211b845acc669da637d51456aac2f2d04dc6c4f83a88ccf985288655b242
2,generic,64,skip-2,131072,10,5,14.099,11.120792,13.920241599999999,14.244733,11.0358336,11.3458334,21.12354067664374,fb4e9c5406efacafd559361b5c667f69906577f4eede4b894e04c67adbb51940
2,generic,64,skip-3,4096,10,5,1.018625,0.478709,1.0034166,1.0455421999999999,0.4782668,0.4814998,53.00439317707695,2142031833f54913c65d241c21c12a79bbeec6af92cdf3d9a69e6850dba8fec6
2,generic,64,skip-3,32768,10,5,6.540292,3.640875,6.5323918,6.6556752,3.6374084,3.6425332000000004,44.3316139401727,4f3b56a617df95ff3d9236e4459595ba0118cd6ceba65c39f69ce17a53fb9562
2,generic,64,skip-3,131072,10,5,24.927,14.209958,24.859042,24.946883,14.167600199999999,14.2887252,42.99370963212581,cb0e781f4561f4144660d1f59fdd21ef1d46e565fb4734e4736d7390b8e3028c
2,generic,64,skip-4,4096,10,5,1.822917,0.647958,1.7974498,1.8907251999999999,0.6473836,0.6488914,64.45488192825016,d3cd78f9143b6643e06811646bb3cde55d868e11df8d932470daf11557ced208
2,generic,64,skip-4,32768,10,5,12.254583,4.967167,12.2192086,12.301183199999999,4.9663088,4.9738084,59.46686231591887,d64beba41c38404abc826195172cab7c131db319fdcef14ab98fb5f00b05f883
2,generic,64,skip-4,131072,10,5,48.130417,19.856125,47.8976336,48.8521084,19.8092496,20.325491399999997,58.745163167815484,f06f0f159874890eb46989ad0c9ae68cc4528f7d577733301fafa87c6ffb5d7d
2,generic,128,ordinary,4096,10,5,0.445334,0.557625,0.4445668,0.4458,0.5571998,0.5578335999999999,-25.215007163162937,3860bdf1412a5a655f6de624b1994ee21d22292a7d46778f2932a818429a596e
2,generic,128,ordinary,32768,10,5,1.083042,1.255,1.0490583999999998,1.1375582,1.2440502,1.3171336,-15.877315930499458,a96a090967fe2638817f1c53186a2a00adc1d5aead5bc7f59a0eded2901e5ec8
2,generic,128,ordinary,131072,10,5,2.553291,3.164625,2.5138336,2.6315668,3.1066832,3.5540162000000004,-23.94298182228347,f3d72ff37620cf0c0f29913623d58fb3ae8776b8be46bc311b31acc59f781733
2,generic,128,skip-1,4096,10,5,0.711792,0.567833,0.6444164,0.7398501999999999,0.5675001999999999,0.5695004,20.224869062872298,f53debd043f5cd148016d7e8bc943964d989fbe75ad986360d1db4aaa531e62f
2,generic,128,skip-1,32768,10,5,2.849708,3.99525,2.7692832000000003,2.992025,3.9835338,4.0150917999999995,-40.198574731165436,8c84bbfcae85b0385321c4a33a1bf9c4bc9bda8558664d6100f8c578e473da45
2,generic,128,skip-1,131072,10,5,9.069208,14.86425,8.8955916,9.1299082,14.8091916,15.3571588,-63.897994179866636,a0b38472f3348d53248138779ece06dc1f1918ba18639866fdd52fa1fe6d1f09
2,generic,128,skip-2,4096,10,5,0.778042,0.672459,0.7285081999999999,0.842725,0.6720584000000001,0.6737751999999999,13.570347102084469,9de8cade6392d7a181c4462ca5560f6b0fcfeb0bd77da9abf84d4120469ada3f
2,generic,128,skip-2,32768,10,5,4.122,5.353416,4.0488082,4.1628584,5.1930328,5.4328746,-29.87423580786026,af2556b54ae38f57835a239cb5074dab84c6a39edd717b910e9d651edbeb4634
2,generic,128,skip-2,131072,10,5,14.227458,19.715542,14.138841800000002,14.749783,19.6705082,19.9019668,-38.5738900090234,83366a3179fca832ae5965d207b5768b934b2c2db8784f84862f4c2d6afe0ba4
2,generic,128,skip-3,4096,10,5,1.092667,0.830708,1.0252162,1.179775,0.8297328,0.8320251999999999,23.97427578576089,fcb33d8653758582522b22eb2a08534aedf9c88e227a56c098985bf2dfd42d47
2,generic,128,skip-3,32768,10,5,6.605667,6.459541,6.5769497999999995,6.6645668,6.455641,6.4674416,2.212130887009589,a65b10af2f1f7b5f6af07a0564c46c99b78658db1eff6be0ab88f8e6a69dbebf
