session,variant,bits,protocol,rows,threads,samples,baseline_ms,current_ms,baseline_p10_ms,baseline_p90_ms,current_p10_ms,current_p90_ms,saved_percent,proof_digest
2,production,32,ordinary,131072,10,21,1.788291,1.711,1.669333,1.98975,1.650375,1.8695,4.322059441108861,c4da81217d99a6dceb8d923716c729771e4c6d194299e818920773f7d81d69cb
2,production,32,ordinary,524288,10,21,4.708333,4.986041,4.511666,5.159708,4.613625,5.74025,-5.898223426422899,0382fd3d25f8ced27fd3938342f3b888b13d5564b9c64178ccb19858745018c3
2,production,32,skip-1,4096,10,21,0.240959,0.248959,0.231458,0.246792,0.244708,0.254416,-3.3200668993480287,6d866468b5d4f6ebc6a4dc0026da6353ccfb442aa020d32f4f6e7b4a15e69910
2,production,32,skip-1,32768,10,21,0.943584,0.961333,0.82325,1.052666,0.8675,1.096792,-1.8810196018584469,0ac1d78192b57fe08e567c3fd1e6917fd97e5bfdd2e5a8e5da842c4bb3ea8742
2,production,32,skip-1,131072,10,21,1.894625,1.848375,1.731542,2.032666,1.688667,2.078834,2.4411163158936433,ab581d4945469de1d9ae3a6b7c0a4b894783164f6b24efc81fcfec4f56ca4efe
2,production,32,skip-1,524288,10,21,5.07375,5.427167,4.774083,5.532625,4.852,5.704084,-6.96559743779257,24809c7818ffff4f8df1575b8e783b70566dd05b7adb7582e94ed33a46089da6
2,production,32,skip-2,4096,10,21,0.164375,0.16575,0.164,0.166834,0.155333,0.170667,-0.8365019011406849,d6494b56a98e1a35aad0d2a13c13e3e389b10c4dee26ce9759414b9183d0323c
2,production,32,skip-2,32768,10,21,0.704292,0.721125,0.652709,0.854417,0.669042,0.815875,-2.3900598047400745,a007bb5b83685a8926668f33802be8fd4e1b44320c613b1ab398489a0cfa2004
2,production,32,skip-2,131072,10,21,1.410666,1.470084,1.249958,1.465583,1.357709,1.619875,-4.212053030270813,2454921d11c1720c47dfb97a37b5b894ced64c3bbd7834eabb6ffb5e8122b400
2,production,32,skip-2,524288,10,21,3.222583,3.31225,3.125208,3.506125,3.206625,3.554625,-2.78245742623231,0fece4defea8873e0736264203d69c1c913a682bc51c7bfc185bba16a5dd7fb1
2,production,32,skip-3,4096,10,21,0.146208,0.140917,0.145458,0.149333,0.140083,0.144458,3.6188170277960174,ba7c17a0402e518208c74d4136bf190e5d7b06d6cd72d634d927c24b67269ab6
2,production,32,skip-3,32768,10,21,0.518,0.498792,0.483042,0.601875,0.478334,0.593375,3.70810810810811,96d7c0db819de2cc61c7a8e8471fa96532492eb8e8aacbcc14d49cc8de01a54c
2,production,32,skip-3,131072,10,21,1.163583,1.171833,1.053083,1.248917,1.09825,1.318584,-0.7090168900714344,13812615cd0c2ff4f109941538d3ffba64e912170774047c3fd75c5460ab381e
2,production,32,skip-3,524288,10,21,2.625833,2.755459,2.473458,2.765333,2.53575,2.92375,-4.936566796136699,2e1257bbcd1922825b9e6abcb1c80ea4b8866f2e86813743062da99b56076b3e
2,production,32,skip-4,4096,10,21,0.1585,0.164958,0.158167,0.165291,0.164541,0.167709,-4.074447949526805,fafe7ef004da705c145234067e65258e09c2d6b20286c5672726e89dd6167150
2,production,32,skip-4,32768,10,21,0.967833,0.962791,0.966,0.98325,0.951833,0.979125,0.5209576445523112,0344bf7f3dd508e40cab31c62ba0f50c3eef7e75722b97fdbbbb4f84f1672aad
2,production,32,skip-4,131072,10,21,1.102791,1.0675,0.9945,1.28075,0.99275,1.209042,3.2001530661748268,2ff24df9a6a8a1b11a596620a6972a3e46d9af6f5f668c94779b0171fa095e5f
2,production,32,skip-4,524288,10,21,2.794541,2.78625,2.649792,2.964375,2.689125,3.021125,0.2966855737668528,50933ac2f42ee7063a1b7345ed0a1dfc324b62ddda3ed200babb8a5bfbae1a88
2,production,64,ordinary,4096,10,21,0.265416,0.260333,0.264167,0.274708,0.259583,0.266,1.9151068511318092,11eec3bd311e94ad5a46f4630b8a4aea34690027a020527490a9d77d5b3d24fc
2,production,64,ordinary,32768,10,21,0.889416,0.865708,0.827375,0.980875,0.833291,1.013708,2.665569317394789,c4ac8de333f6ef594a8b5c023d54d578115e712ae88fc59c52bef88c4d9c6d98
2,production,64,ordinary,131072,10,21,1.9585,1.871833,1.822125,2.337792,1.797458,2.002583,4.425172325759508,89e7344d07b0aed0e11c0cf5c1aa4f3efade1777959a7d5179208dae18cf3ea4
2,production,64,ordinary,524288,10,21,6.736584,6.705458,6.364083,12.111,5.698166,7.247542,0.4620442645708822,e4fd0f92f15a645d9eb26968c6e2222545833ce58d3d71ec830740f7bbb0ab3c
2,production,64,skip-1,4096,10,21,0.675791,0.665,0.605625,0.728125,0.604125,0.71425,1.5967954589510613,67a37cbe780f8c93de7dc17e73023213f8ef89a81304c866ab1fae9dde4fce51
2,production,64,skip-1,32768,10,21,2.948,2.835375,2.736542,3.356125,2.708333,3.118625,3.8203867028493876,6d26f59b414ddd97d263083a6817f7e43c164dc02931d6e5d633294a78c62e6d
2,production,64,skip-1,131072,10,21,9.13825,9.128583,8.847333,9.395042,8.804209,9.362917,0.10578611878642175,26c53fb2e4a5d007d1650be850289020d36354f90e23a3edf15c5415c67a326a
2,production,64,skip-1,524288,10,21,35.717917,35.692125,33.897834,36.396833,34.531708,37.059208,0.07221025794981184,f8ea0e40d159976fd73215e1aeffd7c606b1bb09f13fb699b3b528f8ecbe0b80
2,production,64,skip-2,4096,10,21,0.79025,0.76775,0.744125,0.886292,0.711875,0.842667,2.84720025308447,c13758a50c6bae7c9bf3d5e34d6035c10bb13ddfea8176ef052a8868ca101184
2,production,64,skip-2,32768,10,21,4.0385,4.100084,3.974833,4.37325,4.012041,4.264,-1.5249226197845633,e6f8211b845acc669da637d51456aac2f2d04dc6c4f83a88ccf985288655b242
2,production,64,skip-2,131072,10,21,15.393625,15.60825,14.868083,15.859958,14.6825,16.177167,-1.3942459946893582,fb4e9c5406efacafd559361b5c667f69906577f4eede4b894e04c67adbb51940
2,production,64,skip-2,524288,10,21,56.957084,57.51825,54.728084,58.880292,56.547833,59.222209,-0.9852435563590278,05ec829e1fd8e2b38f1c9505cbd6b98f2496a18ef7006c432e7c8dd4bcfb0711
2,production,64,skip-3,4096,10,21,1.116125,1.134458,1.062917,1.165958,1.053375,1.223625,-1.6425579572180604,2142031833f54913c65d241c21c12a79bbeec6af92cdf3d9a69e6850dba8fec6
2,production,64,skip-3,32768,10,21,6.6825,6.726958,6.544625,6.836,6.656041,6.843875,-0.6652899364010478,4f3b56a617df95ff3d9236e4459595ba0118cd6ceba65c39f69ce17a53fb9562
2,production,64,skip-3,131072,10,21,27.248834,27.166541,26.465,28.175917,26.260459,28.30325,0.3020055830645796,cb0e781f4561f4144660d1f59fdd21ef1d46e565fb4734e4736d7390b8e3028c
2,production,64,skip-3,524288,10,21,99.102084,99.161875,98.461458,122.748041,98.814583,100.183916,-0.060332737301460604,f810ce93115ff8d210e6cc052ae4680ac3e3dcda0a073654620085ada11b3aa6
2,production,64,skip-4,4096,10,21,1.847542,1.821583,1.763792,1.969083,1.765625,1.899042,1.405056014964745,d3cd78f9143b6643e06811646bb3cde55d868e11df8d932470daf11557ced208
2,production,64,skip-4,32768,10,21,12.520125,12.675708,12.190041,12.810458,12.475125,12.97675,-1.2426633120675712,d64beba41c38404abc826195172cab7c131db319fdcef14ab98fb5f00b05f883
2,production,64,skip-4,131072,10,21,52.052583,51.146208,50.446167,53.287875,50.546375,52.172042,1.741268055804257,f06f0f159874890eb46989ad0c9ae68cc4528f7d577733301fafa87c6ffb5d7d
2,production,64,skip-4,524288,10,21,192.095875,192.887042,191.505917,192.826958,191.258208,197.633709,-0.411860483729809,506b4fd8679db82a35cf6c623e62cf3a89648453a8bebd5b4c5c1f87245f9376
2,production,128,ordinary,4096,10,21,0.447708,0.442042,0.445792,0.466834,0.440584,0.456166,1.2655570148400241,3860bdf1412a5a655f6de624b1994ee21d22292a7d46778f2932a818429a596e
2,production,128,ordinary,32768,10,21,1.097166,1.1105,1.047416,1.4005,1.035625,1.4365,-1.2153129061600598,a96a090967fe2638817f1c53186a2a00adc1d5aead5bc7f59a0eded2901e5ec8
2,production,128,ordinary,131072,10,21,2.99575,3.070792,2.785625,3.14425,2.694084,3.163,-2.5049486772928287,f3d72ff37620cf0c0f29913623d58fb3ae8776b8be46bc311b31acc59f781733
2,production,128,ordinary,524288,10,21,9.29625,8.943084,8.577625,9.838167,8.504625,10.131167,3.7990157321500573,5ab4415f9d5b54932067c540b9de0cfe3e6fc8299dc6b86a452033d7b7d9c7fe
2,production,128,skip-1,4096,10,21,0.684833,0.6365,0.604083,0.772667,0.594167,0.728292,7.057633028782195,f53debd043f5cd148016d7e8bc943964d989fbe75ad986360d1db4aaa531e62f
2,production,128,skip-1,32768,10,21,2.957667,3.039708,2.832791,3.230333,2.856833,3.316458,-2.773841679945721,8c84bbfcae85b0385321c4a33a1bf9c4bc9bda8558664d6100f8c578e473da45
2,production,128,skip-1,131072,10,21,9.692792,9.485333,9.352208,10.503417,9.325333,10.01325,2.1403430507948573,a0b38472f3348d53248138779ece06dc1f1918ba18639866fdd52fa1fe6d1f09
2,production,128,skip-1,524288,10,21,35.006458,35.236834,34.355166,36.237625,34.180458,37.465917,-0.6580957147964028,2842ea026d647882e4280539da402e49979f58264e67fd0a6cffc7ab52c4a562
2,production,128,skip-2,4096,10,21,0.777333,0.789042,0.739791,0.894584,0.722125,0.894625,-1.5063042479863897,9de8cade6392d7a181c4462ca5560f6b0fcfeb0bd77da9abf84d4120469ada3f
2,production,128,skip-2,32768,10,21,4.235708,4.150875,4.059167,4.436375,4.064167,4.253333,2.002805670268115,af2556b54ae38f57835a239cb5074dab84c6a39edd717b910e9d651edbeb4634
2,production,128,skip-2,131072,10,21,14.613792,15.006709,14.396084,15.328375,14.804125,15.303041,-2.6886724540762685,83366a3179fca832ae5965d207b5768b934b2c2db8784f84862f4c2d6afe0ba4
2,production,128,skip-2,524288,10,21,55.932333,55.931875,55.3625,59.689958,55.181125,57.534125,0.0008188465873582018,c2fccfe62ddc4962b4188d4785efe9f714c4e1caa4c202909a828d6b0dd4a587
2,production,128,skip-3,4096,10,21,1.114042,1.097209,1.047,1.222542,1.060042,1.183708,1.510984325546072,fcb33d8653758582522b22eb2a08534aedf9c88e227a56c098985bf2dfd42d47
2,production,128,skip-3,32768,10,21,6.91675,6.907083,6.773,7.166458,6.779125,7.183583,0.13976217154010318,a65b10af2f1f7b5f6af07a0564c46c99b78658db1eff6be0ab88f8e6a69dbebf
2,production,128,skip-3,131072,10,21,26.9685,25.962291,26.188958,49.177625,25.601916,28.040459,3.731052895044218,fa97bf3ce82548e53cdff6c944b62d23d585ff8c0e3b505535c7af9e7406f134
2,production,128,skip-3,524288,10,21,100.2795,99.745292,99.230167,100.836333,99.172042,104.436833,0.5327190502545376,59b4d3df96057a7980b76e69de61f37a3dde0a33579ab1856560806836a4e9b8
2,production,128,skip-4,4096,10,21,1.851375,1.831584,1.7705,2.016042,1.793083,1.949334,1.0689892647356647,3d591372b0d50b180da20efe3cadf3a1fe1558cbe05e04fb02be766af83d63f9
2,production,128,skip-4,32768,10,21,12.815625,12.786625,12.6175,13.03975,12.668167,12.954,0.22628627164106296,f14961b72f39347632ee8beaf43fc5b8a86c8bfe29d16ec59c34e38d2e99e936
2,production,128,skip-4,131072,10,21,49.281917,49.243917,48.706625,49.732292,48.916417,50.671666,0.07710739012040113,803491efa5dbeb1dc572af1cc0d3bacf67d1db0a7bd298704b79c8951ae24272
2,production,128,skip-4,524288,10,21,192.044625,192.643875,191.346833,196.712708,191.784333,195.134291,-0.31203685081007126,fbee0b0eb9cf2c9456dcbfc684e9ff18ec671cd9d3ee639e113211599af067ab
