campaign,operation,family,size,baseline,variant,baseline_us,candidate_us,median_ratio,median_ci_low,median_ci_high,p95_ratio,p95_ci_low,p95_ci_high,status,allocation_calls,allocation_bytes
arithmetic-arm-01,"Native accumulator, 128-bit modulus",prime_reduce_linear,128,existing_optimized,crypto_bigint,0.01323,0.0984145,7.435113060576269,7.428554588727556,7.44978341118943,7.409949742350022,7.259429088798267,7.468169621718314,regression,0,0
arithmetic-arm-01,"q100, 2 limbs",projection,q100_l2_n1024,runtime_modulus,fixed_crypto_bigint_vartime,547.6431875,49.135375,0.08984729290519208,0.08970190083808975,0.09007690348603939,0.0900085850515731,0.08754940004664637,0.09048943445329155,pass,0,0
arithmetic-arm-01,"q100, 4 limbs",projection,q100_l4_n1024,runtime_modulus,fixed_crypto_bigint_vartime,1333.44775,78.182375,0.05878391821367901,0.05844278852503886,0.05889441878084912,0.05904201477328445,0.058163976259881456,0.05942533159603943,pass,0,0
arithmetic-arm-01,"q100, 9 limbs",projection,q100_l9_n1024,runtime_modulus,fixed_crypto_bigint_vartime,3296.6875,154.25,0.04680035640486076,0.04663838222971607,0.04695963988708324,0.0469556505557962,0.04647869801837821,0.04737070382008859,pass,0,0
arithmetic-arm-01,"q128, 2 limbs",projection,q128_l2_n1024,runtime_modulus,fixed_crypto_bigint_vartime,22.808756000000002,46.4369315,2.021131886448596,2.010041768360769,2.078961498349567,2.0399809922710097,2.0095625270431188,2.067408642945965,regression,0,0
arithmetic-arm-01,"q128, 4 limbs",projection,q128_l4_n1024,runtime_modulus,fixed_crypto_bigint_vartime,84.9925155,73.9417345,0.8684527031090264,0.8496159331835805,0.9076644161141493,0.8521211953104482,0.837519958924067,0.8731125848373792,pass,0,0
arithmetic-arm-01,"q128, 9 limbs",projection,q128_l9_n1024,runtime_modulus,fixed_crypto_bigint_vartime,231.47653100000002,149.95703100000003,0.6481886624756741,0.6419622673599302,0.6532307388615859,0.6466865486679595,0.6241328693253811,0.6552072855852252,pass,0,0
arm-gated-01,log8_lanes1,ntt,log8_lanes1,flock,preserved_schedule,2.5322875,2.604197,1.0283523021420191,1.0132256923714604,1.029844349889719,1.0030095443653144,0.9515206755635877,1.0230544989544172,regression,0,0
arm-gated-01,log8_lanes32,ntt,log8_lanes32,flock,preserved_schedule,45.833172000000005,45.633953,0.9935984099840369,0.9919754329533673,0.998142434233119,0.9920810378047201,0.9809510759425896,1.0072908845765853,pass,0,0
arm-gated-01,log12_lanes8,ntt,log12_lanes8,flock,preserved_schedule,406.5520625,404.6015625,0.9909348222504443,0.982844694442243,1.000616033946961,0.9978583249236505,0.9271474190700921,1.0217905391590245,inconclusive,0,0
arm-gated-01,log15_lanes32,ntt,log15_lanes32,flock,preserved_schedule,11004.0,11032.1665,1.0024314991135168,0.9979432539585342,1.0055903356208848,0.9986829738055262,0.9861550236979165,1.0140775877297752,regression,1,1520
arm-gated-01,log16_lanes32,ntt,log16_lanes32,flock,preserved_schedule,23117.5,23239.8125,1.004456066912477,1.001424410250459,1.0075008082058732,1.0043399661190366,0.99231739180578,1.0329863297460402,regression,1,1520
arm-gated-01,log17_lanes32,ntt,log17_lanes32,flock,preserved_schedule,50293.771,50304.8125,1.000055339698399,0.9965670403647687,1.0052322538681735,0.9680734957546389,0.7408316427817584,1.0667477054499241,inconclusive,1,1520
arm-gated-01,log18_lanes32,ntt,log18_lanes32,flock,preserved_schedule,105398.042,105490.8955,0.9974114430742965,0.9915422047926776,1.006758476483594,1.0132092204665444,0.9728134123746277,1.110953796814151,inconclusive,1,1520
