session,input,protocol,rows,threads,samples,baseline_ms,candidate_ms,p10_ms,p90_ms,saved_percent
1,u128,ordinary,524288,10,21,43.915917,15.175166,13.143125,18.244292,65.44495245311626
1,u128,skip-1,4096,1,21,0.620084,0.625667,0.587833,0.660375,-0.9003618864541041
1,u128,skip-1,4096,4,21,0.572417,0.574417,0.572125,0.595167,-0.34939563290399267
1,u128,skip-1,4096,10,21,0.574834,0.575125,0.572208,0.60675,-0.050623310381769926
1,u128,skip-1,32768,1,21,4.651833,4.713125,4.490833,4.972208,-1.3175881421366498
1,u128,skip-1,32768,4,21,4.097708,1.651208,1.63025,1.721167,59.704107759752524
1,u128,skip-1,32768,10,21,4.248917,1.2765,1.164459,1.481083,69.95705023185909
1,u128,skip-1,131072,1,21,18.180875,18.564625,17.907209,18.841375,-2.1107344943518846
1,u128,skip-1,131072,4,21,15.606541,5.362167,5.286375,5.666708,65.6415409410708
1,u128,skip-1,131072,10,21,15.358583,3.436417,3.146208,3.799375,77.62542937717627
1,u128,skip-1,524288,1,21,70.217792,70.320083,69.970042,71.749459,-0.14567675383470036
1,u128,skip-1,524288,4,21,63.50925,20.689333,19.636625,25.065042,67.42311867956244
1,u128,skip-1,524288,10,21,59.178583,10.589333,10.330375,11.367208,82.10613964852791
1,u128,skip-2,4096,1,21,0.751375,0.750334,0.720167,0.786375,0.13854599900182674
1,u128,skip-2,4096,4,21,0.69925,0.698834,0.696583,0.706417,0.05949231319271053
1,u128,skip-2,4096,10,21,0.6975,0.697792,0.696875,0.715792,-0.04186379928314832
1,u128,skip-2,32768,1,21,5.747542,5.834416,5.572875,6.023209,-1.5114983065804388
1,u128,skip-2,32768,4,21,5.426375,1.964,1.885667,2.159417,63.806408513971114
1,u128,skip-2,32768,10,21,5.622583,1.33275,1.256916,1.514,76.29648152815174
1,u128,skip-2,131072,1,21,22.767833,22.668291,22.226875,23.044583,0.43720454203963754
1,u128,skip-2,131072,4,21,20.950167,6.97825,6.391541,7.343375,66.69119630406765
1,u128,skip-2,131072,10,21,20.808459,3.612542,3.423333,4.0875,82.63907000513589
1,u128,skip-2,524288,1,21,86.545875,86.548667,86.390958,87.378834,-0.003226034747472184
1,u128,skip-2,524288,4,21,83.398083,27.419167,26.387625,28.647542,67.12254525083029
1,u128,skip-2,524288,10,21,81.854,12.326792,12.004958,12.639583,84.9405135973807
1,u128,skip-3,4096,1,21,0.936375,0.915625,0.89925,0.9955,2.2159925243625644
1,u128,skip-3,4096,4,21,0.867959,0.866833,0.86425,0.874708,0.12972963008621718
1,u128,skip-3,4096,10,21,0.868583,0.883,0.86525,0.950083,-1.6598298608192952
1,u128,skip-3,32768,1,21,7.266167,7.230667,7.002125,7.443542,0.48856570458675197
1,u128,skip-3,32768,4,21,6.823291,2.114458,2.095083,2.272292,69.01117070926624
1,u128,skip-3,32768,10,21,6.957375,1.368042,1.295416,1.919708,80.33680806338597
1,u128,skip-3,131072,1,21,28.144,28.488375,27.780583,29.104584,-1.2236178226264993
1,u128,skip-3,131072,4,21,26.845166,7.841,7.612416,7.974417,70.79176191348566
1,u128,skip-3,131072,10,21,27.058292,4.236042,4.02025,4.396792,84.34475465044136
1,u128,skip-3,524288,1,21,108.738667,108.470042,108.271541,109.870083,0.24703723837261604
1,u128,skip-3,524288,4,21,111.060875,31.642083,29.9355,33.287458,71.50924391690593
1,u128,skip-3,524288,10,21,107.968,15.357666,14.628875,17.512208,85.77572428867812
1,u128,skip-4,4096,1,21,1.188792,1.191292,1.185583,1.334958,-0.21029751209631353
1,u128,skip-4,4096,4,21,1.166333,1.164291,1.161625,1.17125,0.17507864392073413
1,u128,skip-4,4096,10,21,1.166417,1.16375,1.162709,1.185625,0.2286489308712114
1,u128,skip-4,32768,1,21,9.774625,9.820125,9.526958,9.989834,-0.4654910034911808
1,u128,skip-4,32768,4,21,9.158166,9.162208,9.088208,9.213916,-0.04413547428601117
1,u128,skip-4,32768,10,21,9.263792,9.292083,9.187459,9.679625,-0.30539329898597867
1,u128,skip-4,131072,1,21,38.086792,38.215,37.386,39.390459,-0.336620632160356
1,u128,skip-4,131072,4,21,36.716792,10.103083,9.935291,10.207083,72.48375348260274
1,u128,skip-4,131072,10,21,37.284,5.511875,5.307167,6.105833,85.21651378607446
1,u128,skip-4,524288,1,21,146.398166,146.044708,145.641041,146.961875,0.2414360846569652
1,u128,skip-4,524288,4,21,152.562917,40.116792,38.933,41.909875,73.70475552719013
1,u128,skip-4,524288,10,21,147.188333,19.897291,19.269208,21.365542,86.48174716402283
1,u128,zero,4096,1,21,0.595834,0.589,0.571125,0.612459,1.146963751648944
1,u128,zero,4096,4,21,0.555459,0.555208,0.55475,0.560708,0.045187853648964715
1,u128,zero,4096,10,21,0.560875,0.562917,0.555,0.570292,-0.36407399153108866
1,u128,zero,32768,1,21,4.628167,4.646958,4.405166,4.801917,-0.4060138711502903
1,u128,zero,32768,4,21,3.105,1.608125,1.585125,1.656541,48.2085346215781
1,u128,zero,32768,10,21,3.099583,1.356875,1.2515,1.575458,56.2239501249039
1,u128,zero,131072,1,21,18.346625,18.333708,17.615958,18.899125,0.07040531977952069
1,u128,zero,131072,4,21,11.436833,5.177375,5.125166,5.665458,54.73069336589946
1,u128,zero,131072,10,21,10.64775,3.390667,3.091667,4.107209,68.15602357305535
1,u128,zero,524288,1,21,68.337584,68.333417,68.127375,68.733666,0.006097669475702006
1,u128,zero,524288,4,21,44.335833,19.085375,18.922125,19.778792,56.95270911003296
1,u128,zero,524288,10,21,40.36525,10.757709,10.23525,11.402375,73.34908367965019
1,u32,ordinary,4096,1,21,0.426667,0.424958,0.418875,0.437875,0.4005465620730009
1,u32,ordinary,4096,4,21,0.410292,0.410791,0.410292,0.419708,-0.12162069940433451
