family,size,variant,rep,iterations,ns,bytes
products,16,shared,3,262144,16.630,768
products,16,karatsuba,3,262144,51.845,768
products,16,schoolbook,3,262144,43.901,768
products,16,flock,3,262144,16.374,768
products,16,schoolbook,4,262144,44.475,768
products,16,karatsuba_barrett,4,262144,28.083,768
products,16,shared,4,262144,16.929,768
products,16,karatsuba,4,262144,51.198,768
products,16,flock,4,262144,16.644,768
products,16,karatsuba,5,262144,50.995,768
products,16,karatsuba_barrett,5,262144,28.677,768
products,16,flock,5,262144,16.615,768
products,16,shared,5,262144,16.622,768
products,16,schoolbook,5,262144,43.401,768
products,16,schoolbook,6,262144,44.459,768
products,16,karatsuba_barrett,6,262144,28.259,768
products,16,shared,6,262144,16.851,768
products,16,karatsuba,6,262144,51.373,768
products,16,flock,6,262144,16.188,768
products,16,shared,7,262144,17.119,768
products,16,karatsuba_barrett,7,262144,28.669,768
products,16,schoolbook,7,262144,44.158,768
products,16,flock,7,262144,16.719,768
products,16,karatsuba,7,262144,51.261,768
products,16,schoolbook,8,262144,44.151,768
products,16,karatsuba,8,262144,51.961,768
products,16,karatsuba_barrett,8,262144,28.521,768
products,16,flock,8,262144,16.409,768
products,16,shared,8,262144,16.609,768
products,16,karatsuba,9,262144,51.051,768
products,16,flock,9,262144,16.487,768
products,16,karatsuba_barrett,9,262144,28.605,768
products,16,schoolbook,9,262144,43.759,768
products,16,shared,9,262144,16.862,768
products,16,schoolbook,10,262144,44.441,768
products,16,karatsuba_barrett,10,262144,27.939,768
products,16,flock,10,262144,16.376,768
products,16,shared,10,262144,17.054,768
products,16,karatsuba,10,262144,51.601,768
products,16,flock,11,262144,16.549,768
products,16,karatsuba_barrett,11,262144,28.248,768
products,16,karatsuba,11,262144,52.259,768
products,16,shared,11,262144,18.449,768
products,16,schoolbook,11,262144,48.228,768
products,16,flock,12,262144,16.655,768
products,16,schoolbook,12,262144,44.893,768
products,16,shared,12,262144,17.728,768
products,16,karatsuba,12,262144,53.717,768
products,16,karatsuba_barrett,12,262144,31.851,768
products,16,schoolbook,13,262144,45.461,768
products,16,karatsuba_barrett,13,262144,30.464,768
products,16,shared,13,262144,19.065,768
products,16,flock,13,262144,17.141,768
products,16,karatsuba,13,262144,56.501,768
products,16,shared,14,262144,18.100,768
products,16,flock,14,262144,17.047,768
products,16,karatsuba,14,262144,56.598,768
products,16,karatsuba_barrett,14,262144,29.743,768
products,16,schoolbook,14,262144,47.440,768
products,16,flock,15,262144,17.538,768
products,16,shared,15,262144,17.591,768
products,16,schoolbook,15,262144,48.394,768
products,16,karatsuba,15,262144,51.879,768
products,16,karatsuba_barrett,15,262144,28.169,768
products,16,flock,16,262144,16.533,768
products,16,shared,16,262144,17.206,768
products,16,karatsuba,16,262144,50.863,768
products,16,schoolbook,16,262144,43.885,768
products,16,karatsuba_barrett,16,262144,27.921,768
products,16,karatsuba,17,262144,51.584,768
products,16,shared,17,262144,16.991,768
products,16,schoolbook,17,262144,43.425,768
products,16,karatsuba_barrett,17,262144,28.333,768
products,16,flock,17,262144,16.167,768
products,16,flock,18,262144,16.583,768
products,16,karatsuba,18,262144,50.570,768
